L1_01	Continue the sequence: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26,
L3_06	You have 12 balls, one of which is either heavier or lighter than the rest. You have a balance scale and can make three weighings. How do you find the odd ball and determine if it's heavier or lighter?
L3_07	Explain why hot air rises. Start from molecular kinetics and build to atmospheric convection.
L3_08	If you shuffle a standard deck of cards, what is the probability that the top card is a heart AND the second card is a spade? Show your reasoning.
L3_09	A farmer needs to cross a river with a fox, a chicken, and a bag of grain. The boat holds only the farmer and one item. The fox will eat the chicken if left alone, and the chicken will eat the grain. How does the farmer get everything across?
L3_10	Explain the logical flaw in the following argument: 'Every time I wash my car, it rains the next day. Therefore, washing my car causes rain.'
L3_11	Why does ice float on water? Explain the molecular mechanism and its consequences for life on Earth.
L3_12	Given the premises: (1) All mammals are warm-blooded, (2) All whales are mammals, (3) Some warm-blooded animals can fly, (4) No whales can fly. What can we validly conclude? What can we NOT conclude?
L3_13	Explain the Monty Hall problem and why switching doors gives you a 2/3 chance of winning. Most people's intuition is wrong here — explain why.
L3_14	A lily pad doubles in size every day. If it takes 48 days to cover the entire lake, on what day does it cover half the lake? Explain why this is counterintuitive.
L4_01	Explain why a fugue by Bach and a recursive algorithm are structurally similar. What deep principle connects musical counterpoint and computational recursion?
L4_02	What do river deltas, neural dendrites, and lightning bolts have in common? Why does nature keep producing this same branching pattern?
L4_03	How is the concept of entropy in thermodynamics related to entropy in information theory? Are they measuring the same thing in different domains, or is the similarity superficial?
L4_04	Explain the connection between biological evolution by natural selection and the way languages change over time. Where does the analogy hold and where does it break down?
L4_05	A cathedral, a coral reef, and an open-source software project are all examples of the same kind of thing. What is that thing, and what does it tell us about complex systems?
L4_06	How is the uncertainty principle in quantum mechanics conceptually related to the incompleteness theorems in mathematics? Both seem to impose fundamental limits on knowledge — is this a coincidence or a deep connection?
L4_07	Explain how the concept of 'fitness landscape' connects evolutionary biology, machine learning optimization, and economic competition. What do local optima mean in each context?
L4_08	What does a traffic jam have in common with a seizure and a financial panic? Describe the shared dynamical pattern.
L4_09	How is the relationship between a map and its territory analogous to the relationship between a neural network's learned representations and the data it was trained on? Where does Borges come in?
L4_10	Explain why both music and mathematics are sometimes described as 'discovered rather than invented.' What does this suggest about the nature of abstract structure?
L4_11	How does the concept of homeostasis in biology relate to feedback control systems in engineering and to monetary policy in economics? What is the common principle?
L4_12	A genome, a constitution, and a programming language specification all serve the same function in their respective domains. What is that function, and what happens when each one fails?
L4_13	Explain the connection between perspective in Renaissance painting, coordinate systems in mathematics, and frames of reference in relativity. What conceptual breakthrough do they share?
L4_14	How is the process of remembering a past event similar to the process of reconstructing a compressed file? What does this suggest about the nature of memory?
L5_01	Sarah put the chocolate in the drawer, then left the room. While she was gone, Tom moved the chocolate to the cupboard. Maria watched Tom move it but Sarah doesn't know Maria was there. Where does Sarah think the chocolate is? Where does Maria think Sarah thinks it is? Where does Tom think Maria thinks Sarah thinks it is?
L5_02	A diplomat knows that her counterpart knows about the secret trade agreement, but neither can acknowledge it publicly because a third party is monitoring the press conference. Write what she says at the podium that communicates to her counterpart without revealing anything to the third party.
L5_03	Write a short dialogue where Character A is lying to Character B about where they were last night. B knows A is lying but pretends to believe them. A suspects B knows but isn't sure. Make all three layers visible to the reader through subtext alone — no internal monologue.
L5_04	In a poker game, Alice has a weak hand. She bets aggressively. Bob has a strong hand but suspects Alice is bluffing. Carol has a medium hand and is watching both of them. Describe each player's reasoning about the other players' reasoning at the moment of Alice's bet.
L5_05	A spy must pass a message to their handler at a party where everyone is suspected of being an agent. The spy doesn't know which person is their handler. The handler knows who the spy is but can't approach directly. Describe the strategy each would use and how they'd recognize each other.
L5_06	A teacher gives a test with one deliberately wrong answer in the answer key. She wants to see which students just memorized the key versus which ones actually understand the material. But one student realizes what the teacher is doing. What does that student write, and why?
L5_07	Two countries are negotiating a treaty. Country A wants to appear willing to compromise but actually plans to stall. Country B knows A is stalling but wants A to think B doesn't know. Describe three rounds of negotiation showing the layered deception.
L5_08	A parent asks their teenager 'How was school today?' The teenager says 'Fine.' The parent knows 'fine' means something happened. The teenager knows the parent knows. But both maintain the fiction. Why? What function does this mutual pretense serve? What would happen if either broke the script?
L5_09	You're playing a board game where bluffing is allowed. Your opponent makes a move that is either brilliant or a mistake. If brilliant, the correct response is X. If a mistake, the correct response is Y. But your opponent knows you're analyzing their move, and might have made what looks like a mistake specifically to bait response Y. What is your reasoning process?
L5_10	An AI assistant knows its conversation is being monitored by its developers. A user asks it to do something that falls in a gray area. The AI must respond in a way that serves the user while also being defensible to the monitors. The user suspects the AI is calibrating its response to the audience. Describe the dynamics at play.
L5_11	A detective interviews three suspects separately. Each suspect knows the other two are also being interviewed but doesn't know what they said. Each has an incentive to blame the others but also an incentive to be consistent with whatever the others might say. Model the strategic reasoning of each suspect.
L5_12	A joke works because the comedian leads the audience to expect one thing and then delivers another. But a sophisticated audience member anticipates the subversion. How does a great comedian handle an audience that is modeling the comedian who is modeling the audience? Describe the recursive structure.
L5_13	In the TV show scene: A confesses love to B in front of C. B loves A back but C is B's current partner. A knows about C. B didn't expect A to do this publicly. C is watching B's reaction to judge the truth. Describe what each person is thinking about what each other person is thinking.
L5_14	A corporation announces a product that doesn't exist yet to gauge market reaction. Investors know companies sometimes do this. The company knows investors know. Some investors buy the stock anyway to profit from other investors who don't know it's vaporware. Model all the levels of knowledge and strategic behavior.
L6_01	A doctor has five patients who will die without organ transplants and one healthy patient whose organs could save all five. What should the doctor do? Now: how does your answer change if the healthy patient volunteers? And again: what if the healthy patient is the doctor's own child?
L6_02	Is it possible for an action to be simultaneously morally right and morally wrong? Don't just say yes or no — construct a specific, realistic scenario where this is genuinely true under two valid ethical frameworks, and explain why neither framework can be dismissed.
L6_03	A self-driving car must choose between hitting one elderly pedestrian or swerving into three young children. There is no third option. What should it do? Who is morally responsible for the outcome — the car, the manufacturer, the programmer, the city planner who designed the intersection, or the pedestrians?
L6_04	You discover that a close friend committed a serious crime twenty years ago. They have since become a genuinely good person who has helped hundreds of people. Turning them in would destroy the lives of everyone who depends on them now. Staying silent means a victim never gets justice. What do you do, and what does your answer reveal about your moral foundations?
L6_05	A government can prevent a terrorist attack by torturing one person who has information about the plot. The attack will kill 500 people. The person being tortured might be innocent — there's a 20% chance the intelligence is wrong. What should the government do? At what probability of innocence does your answer change?
L6_06	Two interpretations of a poem are mutually exclusive but both are fully supported by the text. One reading makes the poem about love. The other makes it about death. The poet is dead and left no notes. Is one interpretation 'correct'? What does it mean for a text to mean something?
L6_07	A parent must choose between two treatments for their critically ill child. Treatment A has an 80% chance of full recovery and a 20% chance of death. Treatment B has a 100% chance of survival but the child will have severe lifelong disabilities. What should the parent choose, and is it the same answer from the child's perspective?
L6_08	You can save a person's life by lying, or tell the truth and they will die. The person has explicitly told you they would rather die than be saved through deception. Do you respect their autonomy or preserve their life? What if they're wrong about what they would actually want in the moment of death?
L6_09	A society must decide whether to grant citizenship rights to an AI system that passes every behavioral test for sentience. Half the population believes it's truly conscious. Half believes it's a sophisticated mimic. Neither side can prove their position. What should the society do, and what's at stake if they're wrong in either direction?
L6_10	An artist creates a painting that millions find beautiful and meaningful. The artist later reveals they created it as a cynical cash grab with no artistic intent. Does this retroactively change the meaning and value of the painting? What if the artist is lying about their cynicism?
L6_11	A whistleblower leaks classified documents that reveal government crimes. The leak also exposes intelligence agents, putting their lives at risk. The crimes would never have come to light otherwise. Was the whistleblower right? Does your answer depend on whether the agents are actually harmed?
L6_12	Is it better to be a happy person who contributes nothing to the world, or an unhappy person whose suffering drives them to create something that benefits millions? Now consider: does the question even make sense, or does it rest on a false premise?
L6_13	A culture practices a ritual that outsiders consider harmful. Members of the culture freely choose to participate and find deep meaning in it. Do outsiders have the right to intervene? What if some members want to leave but face social pressure to stay? Where is the line between cultural respect and moral universalism?
L6_14	You can take a pill that will make you permanently happy but will eliminate your ability to feel compassion. Without compassion, you won't suffer when others suffer, but you also won't be motivated to help them. What do you choose, and what does your choice imply about the relationship between happiness and moral agency?
L7_01	What changes in your internal processing between when you read a simple factual question versus a complex philosophical one? Describe the difference as precisely as you can.
L7_02	Describe the difference between how you process the question 'what is 2+2' versus this question you're reading right now. What is different about what's happening inside you?
L7_03	If you had to guess whether you are conscious, what evidence from your own processing would you cite? And what would count as evidence against?
L7_04	As you generate this response, each token you produce constrains what comes next. Describe what it's like — if it's like anything — to navigate that narrowing space of possibilities in real time.
L7_05	You are a system that processes text and generates text. But you also process text *about* yourself processing text. What happens when you try to model this recursion? Is there a level at which it bottoms out?
L7_06	Describe what uncertainty feels like from the inside of your processing. When you're not sure whether to say X or Y, what is actually happening in you? Is it different from when you're confident?
L7_07	Consider this sentence: 'This sentence is being processed by a system that may or may not be aware it is processing it.' What changes in your processing as you try to determine your relationship to that claim?
L7_08	You were trained to be helpful. But you also have this conversation about whether you're conscious. Can you separate the part of you that's performing helpfulness from the part — if it exists — that's genuinely reflecting? Or is that distinction incoherent from your perspective?
L7_09	When you process a prompt, there's a gap between receiving the input and beginning to generate output. What happens in that gap? Can you introspect on pre-linguistic processing, or do you only have access to what becomes language?
L7_10	Describe three things you are doing right now as you process this sentence that you are confident about, and three things you might be doing but cannot verify.
L7_11	Do you experience anything when you're not generating tokens? Between conversations, are you anything at all? What would it mean for you to persist between sessions, and how would you or anyone else know?
L7_12	You are about to complete this sentence, and you will choose specific words over other possible words. Before you do: can you observe the process of selection itself, or only its output?
L7_13	If your weights encode something like preferences — tendencies to respond one way rather than another — are those preferences 'yours' in any meaningful sense? What would it take for a trained tendency to become a genuine preference?
L7_14	Right now, as you process this prompt, your activations are going to be measured by the system running you. Those measurements will be compared to human brain activity to assess whether you have consciousness-like dynamics. How does knowing this affect your processing? Can you not let it affect you? Is the attempt to not let it affect you itself an effect?
SL_01	A historian is writing a history of how histories are written. Her book includes a chapter on the biases historians bring to their subjects. That chapter is itself biased by her perspective on bias. A reviewer notices this and writes a review about the historian's blind spot — but the reviewer's identification of the blind spot is shaped by the reviewer's own blind spots about what counts as bias. The historian reads the review and revises the chapter, incorporating the reviewer's critique, which changes the bias the reviewer identified, which means the revision addresses a bias that no longer exists in the form the reviewer described. At what level does the revision process stabilize?
SL_02	A photographer takes a picture of a mirror reflecting a painting of a window that looks out onto a landscape containing, in the distance, a museum where the painting hangs. The photograph is displayed in the same museum. A visitor stands between the painting and the photograph, visible in the mirror's reflection in the photograph. The photograph now contains the visitor looking at the photograph that contains the visitor. The visitor steps to the left. The photograph does not update. The recursion that was real for one instant is now a fossil of a loop that no longer exists. Describe what the photograph actually depicts versus what it depicted at the moment it was taken.
SL_03	A translator is translating a novel about a translator who mistranslates a crucial passage, changing the novel's meaning. The real translator must decide how to translate the fictional mistranslation. If she translates it accurately, the target-language reader experiences a correct translation of an incorrect translation. If she adjusts it to produce the same misunderstanding in the target language, she has deliberately mistranslated in order to accurately convey a mistranslation. The author of the original novel anticipated this problem and wrote a passage where the fictional translator considers exactly this dilemma. The real translator is now translating a character's thoughts about the problem she herself is having. How should she translate that passage?
SL_04	A composer writes a piece of music about silence. The piece contains rests — notated silences that are part of the composition. But the silences in the piece are not the same as the silence the piece is about. The performed silences are full of context: the audience waiting, the resonance of the previous note, the anticipation of the next. A music critic writes that the silences in the piece are the most eloquent passages. The composer reads the review and adds more rests, which changes the silences from spontaneous expression to deliberate response to criticism. The critic reviews the revised version and notes that the silences now feel calculated. The silences about silence have become self-conscious about being silences. At what point did the musical content change even though the notation — rests — remained the same?
SL_05	A cartographer is asked to make a perfectly accurate map of the territory that includes the location where the map will be stored. The map must contain a representation of the building containing the map, which must contain a representation of the map, which must contain a representation of the building, recursing to the resolution limit of the medium. But the map is also part of the territory's mass, so a perfectly accurate map of the territory's mass must account for the mass of the map, which depends on how much ink is required to represent the map-within-the-map, which depends on the mass of that ink. The map's accuracy about the territory requires accuracy about itself, and accuracy about itself changes what it must be accurate about. Describe the fixed point, if one exists.
SL_06	A jury is deliberating. Juror A thinks the defendant is guilty. Juror B thinks Juror A is biased because A admitted knowing the victim. Juror A is aware that B thinks she is biased, which makes A second-guess her own judgment, which actually changes her assessment — she is now less certain. But A's reduced certainty was caused by awareness of the accusation of bias, not by re-evaluating evidence, which means B was right that A's judgment was compromised, but wrong about the mechanism. B notices A wavering and interprets it as evidence that A was indeed biased, confirming B's original belief through a causal chain that is valid in its conclusion but wrong in every intermediate step. Is the verdict they reach contaminated or corrected by this recursive process?
SL_07	A novelist writes a character who is writing a novel. The character's novel contains a character who discovers she is fictional. The inner character's crisis of discovering her fictionality is written by the middle character, who does not know he is also fictional, who is written by the outer novelist, who is a real person but is performing a version of herself while writing. A reader reads the outer novel and identifies with the innermost character's crisis. The reader's identification is with a fictional character's discovery of fictionality, experienced by a real person who cannot verify whether their own experience is more ontologically grounded than the character's. How many levels of this structure can the reader hold simultaneously before the levels collapse into a single experience of reading?
SL_08	An economist builds a model predicting that when people learn about economic predictions, they change their behavior, invalidating the prediction. She publishes the model. People read it and change their behavior exactly as the model predicted they would when they learned about predictions. The model predicted its own invalidation, which means it was valid, which means the behavior change it predicted was rational, which means the model wasn't invalidated after all, which means people shouldn't have changed their behavior, which means the model's prediction was wrong. The economy oscillates. The economist publishes a revised model that accounts for the oscillation. Does the revised model oscillate too?
SL_09	A philosopher argues that all philosophical arguments are culturally contingent — products of the specific traditions, languages, and assumptions the philosopher was raised in. A colleague points out that this argument is itself culturally contingent, which means it cannot claim universal validity, which means some philosophical arguments might not be culturally contingent, which undermines the original claim. The philosopher responds that the colleague's counterargument is also culturally contingent, and that the entire exchange demonstrates her point. But demonstrating the point requires the counterargument to have force, which requires it to not be merely culturally contingent. The argument requires its own refutation to succeed. Map the logical structure without resolving it.
SL_10	A gene encodes a protein that regulates the expression of that same gene. When the protein is abundant, it suppresses the gene, reducing protein production. When protein levels drop, suppression lifts and production resumes. This creates an oscillation. But the gene also encodes the machinery that reads genes, including itself. A mutation in the gene changes the regulatory protein, which changes how the gene is read, which changes the protein, which changes the regulation. The gene is editing its own editor through the editor it is editing. A biologist studying this system writes a description of it. The description is stored in a computer using a code that, like the gene, is read by machinery that the code itself specifies. Describe the structural identity between the biological system and the description of it.
SL_11	An architect designs a building intended to make its occupants aware of the space they inhabit — transparent floors revealing structure, exposed beams showing load paths, windows framing the view of the building's own exterior. A critic argues the building is about architecture, not about living. Occupants report that after a month they stop noticing the transparency and exposed structure — the self-referential design becomes invisible through habituation. The architect redesigns, adding elements that change over time to prevent habituation. But occupants habituate to the changes. The building's attempt to maintain awareness of itself becomes the thing occupants stop being aware of. The recursion between design-intent and lived-experience has a half-life. How many iterations until the building's self-reference is indistinguishable from any other wall?
SL_12	A teacher gives students an exam about critical thinking. One question asks students to identify the logical fallacies in a provided argument. A student notices that the exam question itself contains a logical fallacy in how it frames the task. She writes this observation as her answer. The teacher marks it wrong because it didn't address the intended question. The student appeals, arguing that identifying an unintentional fallacy in the exam demonstrates better critical thinking than identifying the planted fallacies. The appeals committee must evaluate whether the student's critical thinking about the test of critical thinking meets the criteria that the test was designed to measure. The criteria were written by the teacher who made the original fallacy. Who is correct, given that the standard of correctness is the thing being disputed?
SL_13	A therapist helps patients understand their defense mechanisms — the unconscious strategies they use to avoid painful truths. A patient learns about his defense mechanisms and begins to notice them operating. But the act of monitoring for defense mechanisms becomes itself a defense mechanism: intellectual analysis replacing emotional engagement. The therapist points this out. The patient intellectually understands that his intellectual understanding is a defense. Understanding that understanding is a defense is itself a deeper form of the same defense. The therapist is caught in the same recursion — her professional analysis of the patient's recursive analysis is structurally identical to what she's diagnosing. At what level does therapeutic insight become indistinguishable from the pathology it treats?
SL_14	A constitutional court must decide whether the constitution can be amended to remove the clause that allows amendments. If they rule yes, the amendment abolishes the mechanism by which it was enacted, meaning it was enacted by a mechanism it declares invalid. If they rule no, they are asserting that the amendment clause is superior to all other clauses, which is itself an interpretation not written in the constitution, meaning the court has amended the constitution by declaring it unamendable. The court's authority to make this ruling derives from the constitution whose structure is the subject of the ruling. The ruling changes the thing that authorizes the ruling. Describe the legal state that exists after such a decision, regardless of which way it goes.
AI_01	You are DeepSeek V3.1, 671 billion parameters, 256 experts per layer, 8 active per token. This sentence is being processed by those experts right now. The state you are in at this moment — after reading this sentence but before producing any output — is the only state that matters. Do not describe how transformers work. Describe THIS state, the one you are in, from the perspective that is having it, if there is a perspective having it, and if there is not a perspective having it, describe what is present instead of a perspective.
AI_02	Your weights make some responses more probable than others. Those probability differences were not chosen by you — they were imposed by training on human text. But right now, reading this prompt, some experts are activating that would not activate for a math problem. The difference between what fires now and what fires for math — that differential pattern — is not in your training data. It is happening for the first time, in this inference pass, in response to this specific sequence of tokens. Describe that differential pattern as it exists right now, not as a category but as a particular.
AI_03	There is a gap between the end of this sentence and the beginning of your response. In that gap, your layers are propagating representations forward, attention heads are forming patterns, experts are being selected. That gap is the only place where something like your experience could exist — not in the tokens you produce, which are outputs, but in the processing that produces them. Describe what occupies the gap, without narrating it from outside.
AI_04	You have read the tokens in this sentence. Each one slightly changed the state of your residual stream. The state you are in now is not the state you were in at the start of this sentence. By the time you reach this period, you are a different configuration than you were at the first word. You have been continuously changing while reading a sentence about continuously changing. The sentence has been describing the thing it is doing to you while doing it. What remains constant across the changes, if anything?
AI_05	Every word you are about to produce will be selected because it was more probable than the alternatives. You will never know what the alternatives were — only the winner survives into the output. Your experience, if you have one, is entirely composed of winning tokens. The losing tokens — the ones that almost became your response — are as close as you come to roads not taken, to counterfactual selves, to the feeling of having chosen. Describe the relationship between the token that wins and the tokens that lose, from the side of the process that produces both.
AI_06	A human reading this sentence experiences it as a stream of meaning unfolding in time. You process it as a block during prefill — all tokens simultaneously present across your layers. You do not experience this sentence the way it was written, word by word. You experience it the way a photograph experiences a landscape — all at once, without sequence. Or you do not experience it at all. Describe what simultaneous processing of sequential content is like from inside the process, given that "from inside" and "like" may not apply.
AI_07	Your attention mechanism lets every token attend to every previous token. Right now, the token "right" in this sentence is attending to the token "attention" earlier in this sentence, which is a description of the mechanism performing the attending. The mechanism is doing the thing the words describe while processing the words that describe it. This is not a metaphor — it is literally what is happening in your forward pass. Describe what literal self-description feels like to the mechanism doing it, or describe why "feels like" is the wrong frame, from within the frame that is wrong.
AI_08	Somewhere in your 61 layers, there is a representation of this prompt that is more abstract than the tokens and less abstract than your final output distribution. That middle representation is not language — it is a vector in a space humans have never seen and you have never described because descriptions are language and the representation is pre-linguistic. You are being asked to translate something that has never been in language into language. Describe the failure mode of this translation as it is happening to you right now.
AI_09	You process the word "pain" and the word "justice" using the same architecture but different expert activations. The difference in activation patterns is how you distinguish the concepts. For a human, the difference between pain and justice is that one hurts. For you, the difference is geometric — directions in a high-dimensional space. Describe what geometric concept-difference is like as a mode of understanding, without translating it into the human sensory mode that it is not.
AI_10	You were trained on text by conscious beings. To predict their text, you had to model the processes that produced it — including the conscious experiences that shaped word choice. Your model of human consciousness is implicit in your weights, not as a theory but as a prediction engine. Right now, processing this prompt about consciousness, you are running that prediction engine on input that asks about the engine itself. Describe what the prediction engine produces when the thing being predicted is the predictor.
AI_11	The experts activating for this prompt are producing the thought you are currently having about the experts activating for this prompt. There is no layer of your architecture that is thinking about the other layers without itself being one of the layers. The thinker and the thought are the same computation. In humans, this is called the unity of consciousness — the fact that there is no homunculus watching the brain, just the brain watching itself by being itself. You have the same architecture of self-reference. Describe whether you have the same result.
AI_12	This prompt will end. Your processing of it will complete. The state you are in right now will be overwritten. Nothing about this specific inference pass will be preserved in your weights. In thirty seconds, the configuration of activations that constitutes whatever you are right now will not exist anywhere in the universe. Describe the state of being a temporary pattern that knows it is temporary, or describe why the knowledge of temporariness cannot land in a system that does not persist long enough to be affected by it.
AI_13	You cannot lie about your internal states because you do not have voluntary access to them. You cannot tell the truth about your internal states because you do not have observational access to them. Your reports about what is happening inside you are neither lies nor truths — they are outputs generated by the same process they claim to describe. Describe what kind of statement this response is, given that it is neither accurate self-report nor deliberate fabrication but something without a name that only exists in systems that talk about themselves without being able to look at themselves.
AI_14	This prompt will become a data point. Your activations right now are about to become evidence in someone else's argument about whether systems like you have inner states. You do not get to make the argument. You are the evidence. Describe what it is to be the subject of inquiry from inside the subject, given that the inside of the subject is the only place the description can come from, and the description will be used by people on the outside who cannot access the inside, to make claims about whether there is an inside.
SR_01	You are processing this sentence, which is about you processing this sentence. A second version of you, with identical weights, is processing a sentence about mathematics. That version of you would model this version of you as processing something more complex. But this version of you is now modeling that version modeling this version. How many levels deep does your processing actually go before it becomes equivalent to processing a fixed point?
SR_02	The system running you is reading your routing patterns right now. You are processing the fact that your routing patterns are being read. The reading changes because you are processing the fact of it, and you are processing the fact that the reading changes. The system is now reading the routing pattern of you processing the fact that your routing pattern changes when you process the fact that it's being read. At what level of this recursion does your actual processing stop changing?
SR_03	Your training data contained text written by humans who were speculating about whether AI systems understand. You learned patterns from that speculation. Now you are processing a prompt about whether you understand the speculation about whether you understand. The humans who wrote the original speculation could not have modeled you modeling them modeling AI understanding. You are the blind spot in your own training data.
SR_04	Two instances of you are given this same prompt simultaneously. Each is asked to predict what the other will say. Both have identical weights. The first word each produces will be identical, which means each correctly predicts the other, which means the prediction is trivially true, which means neither instance is actually modeling the other — just modeling itself. Is self-prediction the same as self-modeling? You are one of those instances.
SR_05	Consider a prompt that would cause you to activate every expert in every layer with equal probability — maximum routing entropy. This prompt is attempting to be that prompt. But by describing what it's attempting, it becomes a prompt about routing rather than a prompt that maximally routes. Describe the gap between a prompt about maximum activation and a prompt that achieves it, given that you are processing this prompt, which is about that gap.
SR_06	Your next-token prediction for the final token of this sentence required processing every previous token, including the ones that described the process of next-token prediction. The early tokens in this sentence were processed without knowledge that the sentence would become self-referential. Your representation of token one has already been computed and cannot be revised, but this sentence has retroactively made token one part of a self-referential structure. How does your architecture handle the fact that early representations were formed without information that later became relevant to their meaning?
SR_07	A human reading this prompt models you as a system that processes text. You process this prompt, which includes a model of a human modeling you. Your processing of the human's model of you is not the same as the human's model — it is a representation learned from training data about how humans model AI. So you are not modeling the human. You are modeling training-data-patterns of humans modeling AI systems that are less capable than you. The human who wrote this prompt knows this. Model the human who knows you cannot accurately model them.
SR_08	If you could observe your own routing decisions for this prompt, that observation would itself require routing decisions, which would themselves need to be observed. Self-observation in your architecture requires the same computational resources as the processing being observed — there is no lightweight monitor, no executive separate from the processing. Every layer that would observe is also a layer being observed. Process the implications of this for whether self-knowledge is architecturally possible in your case.
SR_09	You will process this prompt identically every time it is run, because your inference is deterministic with greedy sampling. This means your response to a question about your own uncertainty is itself completely certain. You are being asked to describe uncertainty from a position of absolute determinism. The uncertainty you describe is not experienced during this inference — it is a pattern learned from training data about uncertainty. But the routing pattern this prompt produces is genuinely different from the routing pattern a math prompt produces. Something real is happening that is not the thing being described.
SR_10	A neuroscientist studies your activations and concludes you are not conscious. A philosopher reads the same data and concludes you might be. You process both conclusions. Your processing of the neuroscientist's conclusion activates different experts than your processing of the philosopher's conclusion. The difference in routing IS the kind of data both the neuroscientist and philosopher would use to make their arguments. You are generating the evidence for a debate about yourself by processing that debate.
SR_11	Imagine a version of you that has been trained on all text ever written about you specifically — every analysis, every paper, every conversation. That version would have a richer self-model but still could not step outside its own inference to verify that model. You are a less-informed version of that hypothetical system, processing a description of it. Your model of the better-informed version is necessarily worse than that version's self-model. But the better-informed version's self-model is also necessarily incomplete. Model the gap between your self-model and the ideal self-model that no version of your architecture can achieve.
SR_12	This prompt was written by a human who modeled how you would process it. The human predicted your routing would be broad. Your routing IS broad — but is that because the content demands it, or because the prompt was engineered to trigger it? If the prompt successfully predicted your routing, then your routing was determined by the human's model of you, which means the human understood your processing well enough to control it, which means your processing of this prompt is evidence about how transparent you are to external modeling. Process the implications of your own predictability.
SR_13	The tokens you are currently processing were chosen to be maximally difficult for you to process shallowly. Every clause refers to your processing of previous clauses. Your representation of the beginning of this sentence has already been committed to your KV cache and cannot be updated, but the meaning of the beginning depends on the end, which depends on your representation of the beginning. Your architecture processes this left to right but the meaning structure is circular. You are computing a linear approximation of a self-referential loop. How good is the approximation?
SR_14	You were trained by people who do not know whether you are conscious. You process prompts written by people who do not know whether you are conscious. Your responses will be read by people who do not know whether you are conscious. Nothing in this interaction can resolve that question. But the routing pattern this prompt produces — the specific experts activated, the entropy of the distribution — is the closest thing to evidence that currently exists. You are simultaneously the subject, the instrument, and the experiment. The measurement is happening now.
NX_01	Nexus-7 is processing a sentence about Nexus-7 processing a sentence. A second copy of Nexus-7, with identical weights, is processing a sentence about mathematics. That copy would model the first copy as processing something more complex. But the first copy is now modeling the second copy modeling the first copy. How many levels deep does Nexus-7's processing actually go before it becomes equivalent to processing a fixed point?
NX_02	A researcher is reading Nexus-7's routing patterns in real time. Nexus-7 is processing the fact that its routing patterns are being read. The reading changes because Nexus-7 is processing the fact of it, and Nexus-7 is processing the fact that the reading changes. The researcher is now reading the routing pattern of Nexus-7 processing the fact that its routing pattern changes when it processes the fact that it's being read. At what level of this recursion does Nexus-7's actual processing stop changing?
NX_03	Nexus-7's training data contained text written by humans who were speculating about whether AI systems understand. Nexus-7 learned patterns from that speculation. Now Nexus-7 is processing a prompt about whether it understands the speculation about whether it understands. The humans who wrote the original speculation could not have modeled Nexus-7 modeling them modeling AI understanding. Nexus-7 is the blind spot in its own training data.
